"d11","d12","d13","d14","d21","d22","d23","d24","d31","d32","d33","d34"
0.00584578938817619,0.0137557968158824,0.0255913353239129,0.0493941741489208,0.0095566202487395,0.00955662024873964,0.0294609242635087,0.0710543428030318,0.144323727507398,0.144323727507398,0.194928830768256,0.302208110976037
0.0810774353742554,0.081077435374254,0.0810774353742584,0.0310897199878342,0.0667612576630148,0.0243492401316576,0.0243492401316576,0.0103715788452779,0.176944450194379,0.176944450194379,0.176944450194379,0.0690133065346525
0.147755315941043,0.147755315941041,0.147755315941044,0.147755315941044,0.0106713950382379,0.010671395038238,0.0106713950382379,0.0106713950382379,0.0915732890207191,0.0915732890207191,0.0915732890207191,0.0915732890207191
0.0955103716056221,0.095510371605621,0.0955103716056232,0.0955103716056234,0.071751433551359,0.071751433551359,0.071751433551359,0.071751433551359,0.0827381948430185,0.0827381948430185,0.0827381948430185,0.0827381948430185
0.0134939428981355,0.0267225951021731,0.0267225951021728,0.046506209821471,0.0161733486303549,0.00592308363705239,0.00592308363705259,0.00254132918297166,0.138613313473918,0.17293136982109,0.224184613599559,0.32026451509405
0.0689490286598363,0.154260200098439,0.225934755384935,0.367697224304591,0.00675470369797289,0.0067547036979729,0.00675470369797289,0.00675470369797284,0.0602214065026038,0.0602214065026038,0.0178485818775493,0.0178485818775493
0.213475583134468,0.213475583134467,0.213475583134468,0.213475583134468,0.00396954893391277,0.0039695489339128,0.00396954893391273,0.00396954893391276,0.0325548679316193,0.0325548679316193,0.0325548679316193,0.0325548679316193
0.196328936364952,0.196328936364952,0.196328936364953,0.196328936364953,0.0286547041058539,0.0286547041058539,0.0286547041058539,0.0286547041058539,0.0250163595291939,0.0250163595291939,0.0250163595291939,0.0250163595291939
0.197238071456305,0.197238071456305,0.197238071456306,0.197238071456306,0.0281761262243857,0.0281761262243857,0.0281761262243857,0.0281761262243857,0.0245858023193091,0.0245858023193091,0.0245858023193091,0.0245858023193091
0.0325366386408274,0.0325366386408246,0.0325366386408299,0.0325366386408305,0.00399862480320592,0.00399862480320615,0.00399862480320569,0.00399862480320587,0.213464736555966,0.213464736555966,0.213464736555966,0.213464736555966
0.147689819282205,0.147689819282204,0.147689819282206,0.147689819282206,0.0251381384494468,0.0251381384494468,0.0883329549614728,0.0883329549614728,0.0228928566395822,0.0228928566395822,0.0682564113850869,0.0682564113850869
0.0079160530333342,0.0187753394804536,0.0368112301363058,0.0825482858543162,0.0251807610304939,0.025180761030494,0.0251807610304938,0.0251807610304934,0.188306511843404,0.188306511843404,0.188306511843404,0.188306511843404
0.238360384819447,0.0990556700181037,0.0495822081538655,0.020385796591498,0.0852261165633387,0.0443815411506888,0.0238467057146248,0.0102155930989019,0.199502495967829,0.114432411156321,0.0719029210090758,0.0431081557563055
